supermercado,codigo,nombre,categoria,precio_actual,unidad,fecha,clave
chanear,128,AZOTILLO,Carnes Vacunas,8300.0,kg,20260305,chanear_128_azotillo
chanear,124,BIFE A 7 COSTILLAS,Carnes Vacunas,16400.0,kg,20260305,chanear_124_bife a 7 costillas
chanear,175,BIFE DE ENTRECOT ESPECIAL MADURADO,Carnes Vacunas,28000.0,kg,20260305,chanear_175_bife de entrecot especial madurado
chanear,101,BOLA DE LOMO,Carnes Vacunas,16700.0,kg,20260305,chanear_101_bola de lomo
chanear,111,BRAZUELO CON HUESO,Carnes Vacunas,13700.0,kg,20260305,chanear_111_brazuelo con hueso
chanear,100,BRAZUELO POR PIEZA ENTERA,Carnes Vacunas,11799.98,kg,20260305,chanear_100_brazuelo por pieza entera
chanear,112,BRAZUELO SIN HUESO,Carnes Vacunas,15800.0,kg,20260305,chanear_112_brazuelo sin hueso
chanear,125,COSTELETA CON LOMO O T-BONE,Carnes Vacunas,18500.0,kg,20260305,chanear_125_costeleta con lomo o t-bone
chanear,130,COSTELETA DEL MEDIO,Carnes Vacunas,16500.0,kg,20260305,chanear_130_costeleta del medio
chanear,123,COSTELETAS GRANDES,Carnes Vacunas,12900.0,kg,20260305,chanear_123_costeletas grandes
chanear,132,COSTILLA DE TH,Carnes Vacunas,23200.0,kg,20260305,chanear_132_costilla de th
chanear,104,CUADRIL,Carnes Vacunas,19300.0,kg,20260305,chanear_104_cuadril
chanear,109,CUADRIL CON PUNTA,Carnes Vacunas,19600.0,kg,20260305,chanear_109_cuadril con punta
chanear,139,ENTRAÑA FINA,Carnes Vacunas,30500.0,kg,20260305,chanear_139_entraña fina
chanear,120,ENTRECOT COMUN,Carnes Vacunas,13900.0,kg,20260305,chanear_120_entrecot comun
chanear,122,ENTRECOT ESPECIAL,Carnes Vacunas,23900.0,kg,20260305,chanear_122_entrecot especial
chanear,116,FALDA,Carnes Vacunas,10900.0,kg,20260305,chanear_116_falda
chanear,103,JAMON CUADRADO,Carnes Vacunas,16700.0,kg,20260305,chanear_103_jamon cuadrado
chanear,108,JAMON REDONDO,Carnes Vacunas,23800.0,kg,20260305,chanear_108_jamon redondo
chanear,129,LOMO,Carnes Vacunas,25800.0,kg,20260305,chanear_129_lomo
chanear,131,MAR DEL PLATA DE TERNERA,Carnes Vacunas,19700.0,kg,20260305,chanear_131_mar del plata de ternera
chanear,113,MARUCHA DE TERNERA,Carnes Vacunas,12000.0,kg,20260305,chanear_113_marucha de ternera
chanear,134,MATAMBRE DE TERNERA,Carnes Vacunas,17900.0,kg,20260305,chanear_134_matambre de ternera
chanear,102,NALGA,Carnes Vacunas,20500.0,kg,20260305,chanear_102_nalga
chanear,170,OJO DE BIFE RELLENO,Carnes Vacunas,29900.0,kg,20260305,chanear_170_ojo de bife relleno
chanear,105,PALOMITA DE TERNERA,Carnes Vacunas,15800.0,kg,20260305,chanear_105_palomita de ternera
chanear,126,PICADA COMUN DE TERNERA,Carnes Vacunas,8300.0,kg,20260305,chanear_126_picada comun de ternera
chanear,140,PICADA ESPECIAL DE TERNERA,Carnes Vacunas,14200.0,kg,20260305,chanear_140_picada especial de ternera
chanear,106,PICAÑA DE TERNERA,Carnes Vacunas,20800.0,kg,20260305,chanear_106_picaña de ternera
chanear,117,PUCHERO COMUN DE TERNERA,Carnes Vacunas,5800.0,kg,20260305,chanear_117_puchero comun de ternera
chanear,107,PUNTA DE VACIO O COLITA DE CUADRIL,Carnes Vacunas,22990.0,kg,20260305,chanear_107_punta de vacio o colita de cuadril
chanear,114,TAPA DE ASADO DE TERNERA,Carnes Vacunas,16800.0,kg,20260305,chanear_114_tapa de asado de ternera
chanear,110,TAPA DE NALGA,Carnes Vacunas,15800.0,kg,20260305,chanear_110_tapa de nalga
chanear,156,TOMAHAWK,Carnes Vacunas,31000.0,unidad,20260305,chanear_156_tomahawk
chanear,133,VACIO DE TERNERA,Carnes Vacunas,25300.0,kg,20260305,chanear_133_vacio de ternera
chanear,419,ALBONDIGAS DE POLLO,Pollo,8000.0,kg,20260305,chanear_419_albondigas de pollo
chanear,436,ARROLLADO DE POLLO,Pollo,16100.0,unidad,20260305,chanear_436_arrollado de pollo
chanear,411,FILET DE MUSLO DE POLLO,Pollo,12200.0,kg,20260305,chanear_411_filet de muslo de pollo
chanear,410,FILET DE PECHUGA DE POLLO,Pollo,9050.0,kg,20260305,chanear_410_filet de pechuga de pollo
